name,iterations,total,mean,median,min,max,s-dev,ci (95%),,,,,,,,,,
htk::binary_search vector<int>(10000),1000,529455500,176.8,200,0,700,91.107971,5.6469307,,,,,,,,,,
htk::binary_search vector<int>(10000),10000,5399134700,197.17999,200,0,30200,503.10965,9.8609495,,,,,,,,,,
htk::binary_search vector<int>(10000),100000,53892494400,189.03101,200,0,61500,347.81689,2.1557915,,,,,,,,,,
htk::binary_search vector<int>(100000),10,58780600,560,600,200,1100,297.3197,184.28067,,,,,,,,,,
htk::binary_search vector<int>(100000),100,554370200,397,300,100,1200,241.84706,47.402023,,,,,,,,,,
htk::binary_search vector<int>(100000),1000,5501620300,397.20001,300,100,3500,260.2908,16.132992,,,,,,,,,,
htk::binary_search vector<int>(100000),10000,55719849000,420.98999,300,0,20700,500.3334,9.8065348,,,,,,,,,,
htk::binary_search vector<int>(100000),100000,5.54364E+11,420.65701,300,0,87300,580.0694,3.5953074,,,,,,,,,,
htk::binary_search vector<int>(1000000),10,562871700,970,1000,600,1300,200.24734,124.11459,,,,,,,,,,
htk::binary_search vector<int>(1000000),100,5878930400,1038,1000,500,1800,350.64938,68.72728,,,,,,,,,,
htk::binary_search vector<int>(1000000),1000,60063639800,1158.8,1100,300,18200,971.43707,60.210297,,,,,,,,,,
htk::binary_search vector<int>(1000000),10000,5.8534E+11,1083.42,1000,200,47200,846.97314,16.600674,,,,,,,,,,
htk::binary_search vector<int>(1000000),100000,5.87227E+12,1086.4437,1000,200,212800,1151.7368,7.1385388,,,,,,,,,,
std::sort vector<int>(10),10,26900,330,300,200,500,89.994446,55.779137,,,,,,,,,,
std::sort vector<int>(10),100,195300,279,300,200,400,51.555794,10.104936,,,,,,,,,,
std::sort vector<int>(10),1000,1396600,209.3,200,100,400,56.058182,3.4745221,,,,,,,,,,
std::sort vector<int>(10),10000,11120100,191.05,200,100,2900,57.339306,1.1238505,,,,,,,,,,
std::sort vector<int>(10),100000,111490000,187.94901,200,100,20900,291.41885,1.8062328,,,,,,,,,,
std::sort vector<int>(100),10,76200,3080,3000,2900,3500,172.04359,106.63373,,,,,,,,,,
std::sort vector<int>(100),100,591900,2856,2800,2600,3400,168.11603,32.950741,,,,,,,,,,
std::sort vector<int>(100),1000,5998000,2891.7,2800,2500,23400,1046.531,64.864662,,,,,,,,,,
std::sort vector<int>(100),10000,68795500,3187.8799,2900,2300,252000,2999.8799,58.797646,,,,,,,,,,
std::sort vector<int>(100),100000,639930700,3012.1904,2900,2200,1104200,4080.4646,25.290981,,,,,,,,,,
std::sort vector<int>(1000),10,592000,38300,38200,37400,41800,1218.1949,755.04504,,,,,,,,,,
std::sort vector<int>(1000),100,6683500,41918,38200,36700,85100,6514.3452,1276.8116,,,,,,,,,,
std::sort vector<int>(1000),1000,66930100,41801.602,38300,35400,118900,7631.7886,473.02316,,,,,,,,,,
std::sort vector<int>(1000),10000,621289600,39842.488,37300,34900,552600,8732.2715,171.15253,,,,,,,,,,
std::sort vector<int>(1000),100000,6114371700,39516.141,37100,34300,1023400,9268.6357,57.447601,,,,,,,,,,
std::sort vector<int>(10000),10,6101100,373760,386400,326400,431200,38941.422,24136.145,,,,,,,,,,
std::sort vector<int>(10000),100,66745100,397314,406900,321100,647700,63677.563,12480.803,,,,,,,,,,
std::sort vector<int>(10000),1000,533480200,342362.47,324900,308200,847300,43157.699,2674.9419,,,,,,,,,,
std::sort vector<int>(10000),10000,5342571700,341566.22,326200,304100,1640100,46520.285,911.79761,,,,,,,,,,
std::sort vector<int>(10000),100000,53812993200,342636.59,326500,304800,5290800,48545.887,300.89053,,,,,,,,,,
std::sort vector<int>(100000),10,55048800,3282160,3274700,3036200,3756300,192787.95,119491.21,,,,,,,,,,
std::sort vector<int>(100000),100,537335900,3233423.3,3159700,2982600,4237800,239712.56,46983.664,,,,,,,,,,
std::sort vector<int>(100000),1000,5521723600,3296485.5,3175700,2948400,4988600,301790.78,18705.188,,,,,,,,,,
std::sort vector<int>(100000),10000,55017066200,3290068.8,3182200,2964000,7364300,292767.59,5738.2451,,,,,,,,,,
std::sort vector<int>(100000),100000,5.49971E+11,3288149.8,3182800,2939000,9602600,290033.84,1797.6484,,,,,,,,,,
std::sort vector<int>(1000000),10,583521300,32747140,32548900,30846000,35876100,1648180.1,1021552.6,,,,,,,,,,
std::sort vector<int>(1000000),100,5851909500,32880602,31964400,30388900,40261100,2051307.5,402056.28,,,,,,,,,,
std::sort vector<int>(1000000),1000,58757219200,32950310,32210100,29766300,49976100,2112257.3,130919.06,,,,,,,,,,
std::sort vector<int>(1000000),10000,5.83971E+11,32763488,32079400,29820800,65737000,1967745.4,38567.809,,,,,,,,,,
std::sort vector<int>(1000000),100000,5.8463E+12,32823852,32149700,29555100,241195200,2154998.5,13356.819,,,,,,,,,,
