name,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::sort vector<int>(100), 1000, 6096700, 2989.1001, 2800, 2500, 20600, 1386.4379, 85.932312 
std::sort vector<int>(100), 10000, 60600200, 2953.21, 2800, 2300, 31600, 1249.2239, 24.484789 
std::sort vector<int>(100), 100000, 651752400, 3062.9746, 2900, 2300, 184800, 1309.624, 8.1171341 
std::sort vector<int>(1000), 10, 851800, 51180, 49800, 45400, 63800, 5463.8447, 3386.5261 
std::sort vector<int>(1000), 100, 5814600, 38620, 37500, 35900, 77600, 5698.2803, 1116.8629 
std::sort vector<int>(1000), 1000, 58379000, 38868, 37200, 35500, 151700, 6962.3105, 431.52847 
std::sort vector<int>(1000), 10000, 593246300, 39136.941, 37100, 35100, 119500, 6564.6318, 128.66679 
std::sort vector<int>(1000), 100000, 6062073800, 39716.41, 37500, 35100, 1050600, 10250.203, 63.531418 
std::sort vector<int>(10000), 10, 5054900, 335550, 352700, 313600, 356700, 19244.129, 11927.635 
std::sort vector<int>(10000), 100, 51703200, 335183, 319100, 312100, 626300, 38739.762, 7592.9937 
std::sort vector<int>(10000), 1000, 514979900, 333450.47, 319500, 311000, 690600, 30610.623, 1897.2661 
std::sort vector<int>(10000), 10000, 5332140300, 342324.38, 327900, 307200, 1297100, 42299.504, 829.07031 
std::sort vector<int>(10000), 100000, 53768469700, 344010.47, 328500, 307300, 8704600, 50446.129, 312.66837 
std::sort vector<int>(100000), 10, 56236100, 3343620, 3191400, 3170400, 3771700, 245184.58, 151966.98 
std::sort vector<int>(100000), 100, 540222700, 3239300.8, 3175400, 3029500, 4016800, 198392.84, 38885 
std::sort vector<int>(100000), 1000, 5451722900, 3260691.3, 3173900, 3008300, 4608300, 249613.11, 15471.181 
std::sort vector<int>(100000), 10000, 55278024400, 3295225.8, 3180700, 2970200, 8575500, 300057.75, 5881.1318 
std::sort vector<int>(100000), 100000, 662140818400, 3813818, 3338100, 2986800, 103331800, 1668712.4, 10342.787 
